word	nodeType	synsetCount	unit
undersigned	ADJ	0.0	AoC
fifteenth	ADJ	1.0	AoC
certain	ADJ	7.0	AoC
firm	ADJ	10.0	AoC
other	ADJ	4.0	AoC
common	ADJ	9.0	AoC
mutual	ADJ	2.0	AoC
general	ADJ	6.0	AoC
other	ADJ	4.0	AoC
other	ADJ	4.0	AoC
well	ADJ	3.0	AoC
mutual	ADJ	2.0	AoC
different	ADJ	5.0	AoC
free	ADJ	9.0	AoC
free	ADJ	9.0	AoC
several	ADJ	3.0	AoC
free	ADJ	9.0	AoC
other	ADJ	4.0	AoC
subject	ADJ	3.0	AoC
same	ADJ	4.0	AoC
such	ADJ	1.0	AoC
other	ADJ	4.0	AoC
guilty	ADJ	2.0	AoC
other	ADJ	4.0	AoC
high	ADJ	7.0	AoC
executive	ADJ	1.0	AoC
full	ADJ	8.0	AoC
judicial	ADJ	4.0	AoC
other	ADJ	4.0	AoC
convenient	ADJ	2.0	AoC
general	ADJ	6.0	AoC
such	ADJ	1.0	AoC
first	ADJ	6.0	AoC
less	ADJ	3.0	AoC
more	ADJ	2.0	AoC
capable	ADJ	5.0	AoC
more	ADJ	2.0	AoC
capable	ADJ	5.0	AoC
own	ADJ	1.0	AoC
present	ADJ	2.0	AoC
foreign	ADJ	4.0	AoC
more	ADJ	2.0	AoC
same	ADJ	4.0	AoC
long	ADJ	9.0	AoC
such	ADJ	1.0	AoC
necessary	ADJ	2.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
requisite	ADJ	1.0	AoC
necessary	ADJ	2.0	AoC
such	ADJ	1.0	AoC
regulated	ADJ	1.0	AoC
disciplined	ADJ	2.0	AoC
armed	ADJ	3.0	AoC
accoutred	ADJ	1.0	AoC
ready	ADJ	5.0	AoC
public	ADJ	2.0	AoC
due	ADJ	4.0	AoC
proper	ADJ	4.0	AoC
such	ADJ	1.0	AoC
certain	ADJ	7.0	AoC
such	ADJ	1.0	AoC
imminent	ADJ	1.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
common	ADJ	9.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
other	ADJ	4.0	AoC
common	ADJ	9.0	AoC
general	ADJ	6.0	AoC
common	ADJ	9.0	AoC
several	ADJ	3.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
direct	ADJ	10.0	AoC
several	ADJ	3.0	AoC
sole	ADJ	2.0	AoC
exclusive	ADJ	3.0	AoC
sixth	ADJ	1.0	AoC
legislative	ADJ	2.0	AoC
respective	ADJ	1.0	AoC
such	ADJ	1.0	AoC
own	ADJ	1.0	AoC
legal	ADJ	5.0	AoC
naval	ADJ	1.0	AoC
high	ADJ	7.0	AoC
last	ADJ	9.0	AoC
more	ADJ	2.0	AoC
other	ADJ	4.0	AoC
legislative	ADJ	2.0	AoC
executive	ADJ	1.0	AoC
lawful	ADJ	4.0	AoC
legislative	ADJ	2.0	AoC
executive	ADJ	1.0	AoC
other	ADJ	4.0	AoC
lawful	ADJ	4.0	AoC
joint	ADJ	3.0	AoC
such	ADJ	1.0	AoC
less	ADJ	3.0	AoC
more	ADJ	2.0	AoC
major	ADJ	8.0	AoC
sufficient	ADJ	1.0	AoC
present	ADJ	2.0	AoC
such	ADJ	1.0	AoC
absent	ADJ	3.0	AoC
final	ADJ	3.0	AoC
conclusive	ADJ	1.0	AoC
such	ADJ	1.0	AoC
final	ADJ	3.0	AoC
decisive	ADJ	4.0	AoC
other	ADJ	4.0	AoC
supreme	ADJ	4.0	AoC
superior	ADJ	7.0	AoC
good	ADJ	21.0	AoC
private	ADJ	4.0	AoC
different	ADJ	5.0	AoC
more	ADJ	2.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
same	ADJ	4.0	AoC
antecedent	ADJ	1.0	AoC
such	ADJ	1.0	AoC
same	ADJ	4.0	AoC
territorial	ADJ	3.0	AoC
different	ADJ	5.0	AoC
sole	ADJ	2.0	AoC
exclusive	ADJ	3.0	AoC
own	ADJ	1.0	AoC
respective	ADJ	1.0	AoC
legislative	ADJ	2.0	AoC
own	ADJ	1.0	AoC
post	ADJ	0.0	AoC
such	ADJ	1.0	AoC
same	ADJ	4.0	AoC
requisite	ADJ	1.0	AoC
regimental	ADJ	1.0	AoC
naval	ADJ	1.0	AoC
naval	ADJ	1.0	AoC
such	ADJ	1.0	AoC
other	ADJ	4.0	AoC
civil	ADJ	6.0	AoC
necessary	ADJ	2.0	AoC
general	ADJ	6.0	AoC
more	ADJ	2.0	AoC
necessary	ADJ	2.0	AoC
same	ADJ	4.0	AoC
public	ADJ	2.0	AoC
half	ADJ	3.0	AoC
respective	ADJ	1.0	AoC
white	ADJ	12.0	AoC
such	ADJ	1.0	AoC
regimental	ADJ	1.0	AoC
clothe	ADJ	0.0	AoC
like	ADJ	4.0	AoC
armed	ADJ	3.0	AoC
proper	ADJ	4.0	AoC
small	ADJ	10.0	AoC
other	ADJ	4.0	AoC
great	ADJ	6.0	AoC
such	ADJ	1.0	AoC
extra	ADJ	3.0	AoC
clothed	ADJ	2.0	AoC
armed	ADJ	3.0	AoC
same	ADJ	4.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
such	ADJ	1.0	AoC
extra	ADJ	3.0	AoC
same	ADJ	4.0	AoC
clothe	ADJ	0.0	AoC
many	ADJ	1.0	AoC
such	ADJ	1.0	AoC
extra	ADJ	3.0	AoC
armed	ADJ	3.0	AoC
necessary	ADJ	2.0	AoC
appropriate	ADJ	1.0	AoC
same	ADJ	4.0	AoC
other	ADJ	4.0	AoC
long	ADJ	9.0	AoC
such	ADJ	1.0	AoC
military	ADJ	3.0	AoC
such	ADJ	1.0	AoC
excepted	ADJ	0.0	AoC
several	ADJ	3.0	AoC
such	ADJ	1.0	AoC
requisite	ADJ	1.0	AoC
other	ADJ	4.0	AoC
same	ADJ	4.0	AoC
such	ADJ	1.0	AoC
present	ADJ	2.0	AoC
public	ADJ	2.0	AoC
perpetual	ADJ	2.0	AoC
such	ADJ	1.0	AoC
perpetual	ADJ	2.0	AoC
undersigned	ADJ	0.0	AoC
respective	ADJ	1.0	AoC
perpetual	ADJ	2.0	AoC
respective	ADJ	1.0	AoC
said	ADJ	1.0	AoC
perpetual	ADJ	2.0	AoC
whereof	ADJ	0.0	AoC
ninth	ADJ	1.0	AoC
third	ADJ	1.0	AoC
perfect	ADJ	3.0	Constitution
domestic	ADJ	5.0	Constitution
common	ADJ	9.0	Constitution
general	ADJ	6.0	Constitution
legislative	ADJ	2.0	Constitution
second	ADJ	2.0	Constitution
several	ADJ	3.0	Constitution
numerous	ADJ	1.0	Constitution
direct	ADJ	10.0	Constitution
several	ADJ	3.0	Constitution
respective	ADJ	1.0	Constitution
whole	ADJ	5.0	Constitution
free	ADJ	9.0	Constitution
other	ADJ	4.0	Constitution
actual	ADJ	5.0	Constitution
first	ADJ	6.0	Constitution
subsequent	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
direct	ADJ	10.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
sole	ADJ	2.0	Constitution
first	ADJ	6.0	Constitution
first	ADJ	6.0	Constitution
second	ADJ	2.0	Constitution
second	ADJ	2.0	Constitution
fourth	ADJ	1.0	Constitution
third	ADJ	1.0	Constitution
sixth	ADJ	1.0	Constitution
second	ADJ	2.0	Constitution
temporary	ADJ	2.0	Constitution
next	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
sole	ADJ	2.0	Constitution
present	ADJ	2.0	Constitution
liable	ADJ	4.0	Constitution
subject	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
least	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
first	ADJ	6.0	Constitution
different	ADJ	5.0	Constitution
own	ADJ	1.0	Constitution
small	ADJ	10.0	Constitution
absent	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
disorderly	ADJ	3.0	Constitution
same	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
more	ADJ	2.0	Constitution
other	ADJ	4.0	Constitution
privileged	ADJ	3.0	Constitution
respective	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
civil	ADJ	6.0	Constitution
whereof	ADJ	0.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
large	ADJ	7.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
necessary	ADJ	2.0	Constitution
same	ADJ	4.0	Constitution
common	ADJ	9.0	Constitution
uniform	ADJ	4.0	Constitution
foreign	ADJ	4.0	Constitution
several	ADJ	3.0	Constitution
uniform	ADJ	4.0	Constitution
foreign	ADJ	4.0	Constitution
current	ADJ	1.0	Constitution
useful	ADJ	2.0	Constitution
limited	ADJ	7.0	Constitution
exclusive	ADJ	3.0	Constitution
respective	ADJ	1.0	Constitution
inferior	ADJ	6.0	Constitution
high	ADJ	7.0	Constitution
long	ADJ	9.0	Constitution
naval	ADJ	1.0	Constitution
disciplining	ADJ	0.0	Constitution
such	ADJ	1.0	Constitution
exclusive	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
square	ADJ	6.0	Constitution
particular	ADJ	6.0	Constitution
same	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
necessary	ADJ	2.0	Constitution
proper	ADJ	4.0	Constitution
foregoing	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
proper	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
direct	ADJ	10.0	Constitution
clear	ADJ	17.0	Constitution
regular	ADJ	13.0	Constitution
public	ADJ	2.0	Constitution
present	ADJ	2.0	Constitution
foreign	ADJ	4.0	Constitution
necessary	ADJ	2.0	Constitution
net	ADJ	2.0	Constitution
such	ADJ	1.0	Constitution
subject	ADJ	3.0	Constitution
foreign	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
imminent	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
equal	ADJ	2.0	Constitution
whole	ADJ	5.0	Constitution
respective	ADJ	1.0	Constitution
least	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
great	ADJ	6.0	Constitution
such	ADJ	1.0	Constitution
whole	ADJ	5.0	Constitution
more	ADJ	2.0	Constitution
such	ADJ	1.0	Constitution
equal	ADJ	2.0	Constitution
high	ADJ	7.0	Constitution
necessary	ADJ	2.0	Constitution
great	ADJ	6.0	Constitution
more	ADJ	2.0	Constitution
equal	ADJ	2.0	Constitution
same	ADJ	4.0	Constitution
natural	ADJ	10.0	Constitution
eligible	ADJ	1.0	Constitution
eligible	ADJ	1.0	Constitution
said	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
affirm	ADJ	0.0	Constitution
good	ADJ	21.0	Constitution
several	ADJ	3.0	Constitution
actual	ADJ	5.0	Constitution
principal	ADJ	1.0	Constitution
executive	ADJ	1.0	Constitution
respective	ADJ	1.0	Constitution
present	ADJ	2.0	Constitution
other	ADJ	4.0	Constitution
public	ADJ	2.0	Constitution
other	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
inferior	ADJ	6.0	Constitution
proper	ADJ	4.0	Constitution
next	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
necessary	ADJ	2.0	Constitution
expedient	ADJ	2.0	Constitution
extraordinary	ADJ	3.0	Constitution
such	ADJ	1.0	Constitution
proper	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
public	ADJ	2.0	Constitution
civil	ADJ	6.0	Constitution
other	ADJ	4.0	Constitution
high	ADJ	7.0	Constitution
judicial	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
inferior	ADJ	6.0	Constitution
supreme	ADJ	4.0	Constitution
inferior	ADJ	6.0	Constitution
good	ADJ	21.0	Constitution
judicial	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
public	ADJ	2.0	Constitution
maritime	ADJ	2.0	Constitution
more	ADJ	2.0	Constitution
different	ADJ	5.0	Constitution
same	ADJ	4.0	Constitution
different	ADJ	5.0	Constitution
foreign	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
public	ADJ	2.0	Constitution
original	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
appellate	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
same	ADJ	4.0	Constitution
open	ADJ	21.0	Constitution
full	ADJ	8.0	Constitution
public	ADJ	2.0	Constitution
judicial	ADJ	4.0	Constitution
other	ADJ	4.0	Constitution
general	ADJ	6.0	Constitution
such	ADJ	1.0	Constitution
several	ADJ	3.0	Constitution
other	ADJ	4.0	Constitution
such	ADJ	1.0	Constitution
such	ADJ	1.0	Constitution
due	ADJ	4.0	Constitution
new	ADJ	11.0	Constitution
other	ADJ	4.0	Constitution
more	ADJ	2.0	Constitution
needful	ADJ	1.0	Constitution
other	ADJ	4.0	Constitution
particular	ADJ	6.0	Constitution
domestic	ADJ	5.0	Constitution
necessary	ADJ	2.0	Constitution
several	ADJ	3.0	Constitution
valid	ADJ	2.0	Constitution
several	ADJ	3.0	Constitution
other	ADJ	4.0	Constitution
first	ADJ	6.0	Constitution
fourth	ADJ	1.0	Constitution
first	ADJ	6.0	Constitution
equal	ADJ	2.0	Constitution
valid	ADJ	2.0	Constitution
supreme	ADJ	4.0	Constitution
several	ADJ	3.0	Constitution
executive	ADJ	1.0	Constitution
judicial	ADJ	4.0	Constitution
several	ADJ	3.0	Constitution
religious	ADJ	4.0	Constitution
public	ADJ	2.0	Constitution
sufficient	ADJ	1.0	Constitution
